Participant,Agent Len Min (s),Agent Len Max (s),Agent Len Avg (s),Fixed Len Min (s),Fixed Len Max (s),Fixed Len Avg (s), Speed Min (%), Speed Max (%), Speed Avg (%)
p1,24.974562,41.569436,34.38543925,24.974562,41.569436,34.38543925,0.0,0.0,0.0
p2,0.56929,34.914633,15.230734250000001,0.7353329166666666,34.914633,16.213066713541878,29.17,0.0,6.45
p3,28.475492,41.366927,37.518256,28.475492,36.196061125,32.045231468749996,0.0,-12.5,-14.59
p4,37.295383,52.028696,44.10866675,42.922951,67.20373233333332,52.2181274375,15.09,29.17,18.39
